"Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
2,1,13.8499119846816,2,15,33,2.5,3067,2,1,0,5.04985600724954,4.36944785246702,1900,19,-37.8079,144.9934
3,1,14.1973658004333,4,15,34,2.5,3067,3,2,0,4.89783979995091,5.01063529409626,1900,19,-37.8093,144.9944
4,1,14.28551418721,5,97,35,2.5,3067,3,1,2,4.78749174278205,4.95582705760126,2014,19,-37.8072,144.9941
3,1,14.4446524085483,2,97,38,2.5,3067,4,2,0,5.50125821054473,5.34710753071747,1910,19,-37.8024,144.9993
2,1,14.3077647961448,2,97,41,2.5,3067,2,1,2,5.54517744447956,4.67282883446191,1890,19,-37.806,144.9954
2,1,13.9080897392574,2,15,41,2.5,3067,3,1,2,5.39362754635236,4.31748811353631,1900,19,-37.801,144.9989
3,1,14.1156151504146,5,97,6,2.5,3067,3,2,2,5.36597601502185,5.24702407216049,2005,19,-37.8085,144.9964
2,3,13.5278284855125,2,15,6,2.5,3067,2,2,1,0,4.54329478227,2009,19,-37.8078,144.9965
2,1,14.0855376951773,2,72,10,2.5,3067,2,1,2,5.47227067367148,4.57471097850338,1890,19,-37.809,144.9976
3,1,13.9978321147582,2,72,12,2.5,3067,3,2,1,4.72738781871234,4.70048036579242,1880,19,-37.8056,144.993
3,1,13.9780544871496,2,79,12,2.5,3067,2,1,1,4.92725368515721,4.65396035015752,1890,19,-37.8021,144.9965
2,1,13.6989767417083,2,15,13,2.5,3067,2,1,1,5.01063529409626,4.29045944114839,1985,19,-37.8011,145.0004
4,1,14.1006895001979,1,75,14,2.5,3067,4,2,2,6.65929391968364,4.90527477843843,1900,19,-37.8073,144.9952
2,3,13.1223633774043,2,33,15,2.5,3067,2,1,1,0,4.0943445622221,1970,19,-37.8015,144.9972
2,1,13.9108207377686,1,15,15,2.5,3067,2,2,1,4.82028156560504,4.90527477843843,2013,19,-37.8079,144.9977
2,1,14.089347223594,2,84,16,2.5,3067,2,1,0,4.99043258677874,4.44265125649032,1900,19,-37.808,144.994
3,1,14.1853484884293,1,97,20,2.5,3067,3,3,1,5.11198778835654,5.15905529921453,2012,19,-37.8017,145.0001
2,1,13.9421432088976,2,97,20,2.5,3067,2,2,2,4.58496747867057,4.85203026391962,1920,19,-37.8005,144.9952
3,1,14.0701527763379,2,15,23,2.5,3067,3,1,1,5.12396397940326,4.82028156560504,1950,19,-37.8007,144.9958
1,3,13.0604879736862,2,97,24,2.5,3067,1,1,1,0,3.91202300542815,2013,19,-37.8055,144.9961
2,1,13.9810249964418,2,72,26,2.5,3067,2,1,0,5.08759633523238,4.51085950651685,1900,19,-37.8016,144.9956
3,1,13.9936567433477,4,72,26,2.5,3067,3,2,1,4.78749174278205,4.85203026391962,1998,19,-37.8022,144.9954
2,1,13.8279330779628,2,97,27,2.5,3067,2,1,0,5.2040066870768,4.40671924726425,1900,19,-37.8021,144.9976
2,1,13.8450693602058,2,15,32,2.5,3067,2,1,1,5.14749447681345,4.39444915467244,1930,19,-37.8086,144.9946
3,2,13.6411571708195,1,97,30,13.5,3042,3,2,1,5.71373280550937,5.41610040220442,2016,14,-37.718,144.878
3,1,13.5007998131246,5,97,31,13.5,3042,3,2,1,0,4.97673374242057,1965,14,-37.7203,144.8755
3,1,13.5541457938299,4,97,34,13.5,3042,3,2,1,0,4.97673374242057,1965,14,-37.7203,144.8755
2,1,13.3096724757093,2,97,34,13.5,3042,2,1,1,5.605802066296,4.43081679884331,1950,14,-37.7294,144.888
3,2,13.4588356140255,2,17,34,13.5,3042,3,2,2,5.47646355193151,4.89783979995091,2009,14,-37.7218,144.8837
3,1,13.3046849341983,2,82,34,13.5,3042,2,1,1,5.66988092298052,4.75359019110636,1980,14,-37.7273,144.8744
2,3,13.1223633774043,5,9,34,13.5,3042,2,1,1,5.12396397940326,4.45434729625351,2011,14,-37.7215,144.8864
6,1,13.4939269338368,4,9,38,13.5,3042,6,3,2,6.88346258641309,5.2257466737132,1980,14,-37.7239,144.8735
2,2,13.0170028617465,2,9,38,13.5,3042,2,1,1,4.70048036579242,4.49980967033027,2015,14,-37.7216,144.871
2,3,13.1519221796459,2,9,39,13.5,3042,2,1,1,4.94875989037817,4.29045944114839,2013,14,-37.7298,144.8883
2,3,13.1806322855283,2,97,1,13.5,3042,2,1,1,4.78749174278205,4.54329478227,2012,14,-37.7234,144.8792
3,1,13.704578997257,1,126,1,13.5,3042,3,1,6,6.96885037834195,4.89034912822175,1975,14,-37.7249,144.8728
3,1,13.5985975564007,2,97,2,13.5,3042,3,1,1,0,4.65396035015752,1950,14,-37.7217,144.8783
3,3,13.530491602932,2,97,3,13.5,3042,3,1,1,5.57972982598622,4.86753445045558,1993,14,-37.7302,144.8855
3,2,13.4588356140255,1,17,10,13.5,3042,3,2,2,5.10594547390058,4.89034912822175,2009,14,-37.727,144.887
3,1,13.6291809797728,2,9,11,13.5,3042,3,1,2,6.87832646829133,4.72738781871234,1960,14,-37.7186,144.876
2,1,13.4224679698547,2,9,12,13.5,3042,2,1,1,6.41673228251233,4.60517018598809,1975,14,-37.7187,144.8765
3,1,13.8566525012955,2,97,12,13.5,3042,3,2,5,6.41673228251233,5.15905529921453,1950,14,-37.7173,144.8796
4,1,13.5580343275696,2,17,13,13.5,3042,5,3,4,6.27476202124194,5.73334127689775,1980,14,-37.7263,144.8679
